"longitude","latitude","model","var","mag","baseline","predicted"
-105.2742,43.7079,"DGVM-full-400ppm","ppt",1.1,0.145033333333333,0.14743
-105.2742,43.7079,"DGVM-full-400ppm","tmean",4,0.145033333333333,0.100033333333333
-105.2742,43.7079,"DGVM-full-400ppm","ppt",0.9,0.145033333333333,0.131713333333333
-105.2742,43.7079,"DGVM-full-400ppm","tmean",2,0.145033333333333,0.128513333333333
-105.2742,43.7079,"DGVM-full-400ppm","ppt",1.2,0.145033333333333,0.17243
-105.2825,43.6662,"DGVM-full-400ppm","tmean",4,0.131673333333333,0.0984666666666667
-105.2825,43.6662,"DGVM-full-400ppm","ppt",1.2,0.131673333333333,0.174706666666667
-105.2825,43.6662,"DGVM-full-400ppm","tmean",0.2,0.131673333333333,0.140203333333333
-105.2825,43.6662,"DGVM-full-400ppm","ppt",1.1,0.131673333333333,0.167836666666667
-105.2825,43.6662,"DGVM-full-400ppm","ppt",0.9,0.131673333333333,0.125696666666667
-105.2825,43.6662,"DGVM-full-400ppm","tmean",2,0.131673333333333,0.11766
-105.2825,43.6829,"DGVM-full-400ppm","tmean",0.2,0.123366666666667,0.152343333333333
-105.2825,43.6829,"DGVM-full-400ppm","ppt",1.1,0.123366666666667,0.174926666666667
-105.2825,43.6829,"DGVM-full-400ppm","ppt",0.9,0.123366666666667,0.112706666666667
-105.2825,43.6829,"DGVM-full-400ppm","tmean",4,0.123366666666667,0.109233333333333
-105.2825,43.6829,"DGVM-full-400ppm","tmean",2,0.123366666666667,0.14451
-105.2825,43.6829,"DGVM-full-400ppm","ppt",1.2,0.123366666666667,0.175436666666667
-105.2825,43.6912,"DGVM-full-400ppm","tmean",0.2,0.134223333333333,0.15371
-105.2825,43.6912,"DGVM-full-400ppm","ppt",1.2,0.134223333333333,0.161386666666667
-105.2825,43.6912,"DGVM-full-400ppm","tmean",4,0.134223333333333,0.106276666666667
-105.2825,43.6912,"DGVM-full-400ppm","ppt",1.1,0.134223333333333,0.15977
-105.2825,43.6912,"DGVM-full-400ppm","ppt",0.9,0.134223333333333,0.119666666666667
-105.2825,43.6912,"DGVM-full-400ppm","tmean",2,0.134223333333333,0.129436666666667
-105.2825,43.7079,"DGVM-full-400ppm","ppt",1.1,0.141003333333333,0.16539
-105.2825,43.7079,"DGVM-full-400ppm","ppt",1.2,0.141003333333333,0.177326666666667
-105.2825,43.7079,"DGVM-full-400ppm","tmean",0.2,0.141003333333333,0.145343333333333
-105.2825,43.7079,"DGVM-full-400ppm","ppt",0.9,0.141003333333333,0.128566666666667
-105.2825,43.7079,"DGVM-full-400ppm","tmean",2,0.141003333333333,0.146326666666667
-105.2825,43.7079,"DGVM-full-400ppm","tmean",4,0.141003333333333,0.114973333333333
-106.0576,40.2411,"DGVM-full-400ppm","ppt",0.9,0,0
-106.0576,40.2411,"DGVM-full-400ppm","tmean",0.2,0,0
-106.0576,40.2411,"DGVM-full-400ppm","ppt",1.1,0,0
-106.0576,40.2411,"DGVM-full-400ppm","tmean",2,0,0.268903333333333
-106.0576,40.2411,"DGVM-full-400ppm","tmean",4,0,0.32101
-106.0576,40.2411,"DGVM-full-400ppm","ppt",1.2,0,0
-106.2909,42.4745,"DGVM-full-400ppm","ppt",1.2,0.19585,0.20044
-106.2909,42.4745,"DGVM-full-400ppm","tmean",4,0.19585,0.11943
-106.2909,42.4745,"DGVM-full-400ppm","ppt",0.9,0.19585,0.17278
-106.2909,42.4745,"DGVM-full-400ppm","tmean",0.2,0.19585,0.192006666666667
-106.2909,42.4745,"DGVM-full-400ppm","ppt",1.1,0.19585,0.21084
-106.2909,42.4745,"DGVM-full-400ppm","tmean",2,0.19585,0.136213333333333
-106.3492,42.5579,"DGVM-full-400ppm","tmean",0.2,0.09289,0.11057
-106.3492,42.5579,"DGVM-full-400ppm","ppt",0.9,0.09289,0.10347
-106.3492,42.5579,"DGVM-full-400ppm","tmean",2,0.09289,0.09864
-106.3492,42.5579,"DGVM-full-400ppm","ppt",1.1,0.09289,0.160513333333333
-106.3492,42.5579,"DGVM-full-400ppm","ppt",1.2,0.09289,0.17316
-106.3492,42.5579,"DGVM-full-400ppm","tmean",4,0.09289,0.08422
-106.4576,38.6827,"DGVM-full-400ppm","ppt",1.2,0,0
-106.4576,38.6827,"DGVM-full-400ppm","tmean",2,0,0
-106.4576,38.6827,"DGVM-full-400ppm","tmean",0.2,0,0
-106.4576,38.6827,"DGVM-full-400ppm","ppt",0.9,0,0
-106.4576,38.6827,"DGVM-full-400ppm","tmean",4,0,0
-106.4576,38.6827,"DGVM-full-400ppm","ppt",1.1,0,0
-106.4742,38.5077,"DGVM-full-400ppm","ppt",0.9,0,0
-106.4742,38.5077,"DGVM-full-400ppm","ppt",1.2,0,0
-106.4742,38.5077,"DGVM-full-400ppm","tmean",0.2,0,0
-106.4742,38.5077,"DGVM-full-400ppm","ppt",1.1,0,0
-106.4742,38.5077,"DGVM-full-400ppm","tmean",2,0,0.25595
-106.4742,38.5077,"DGVM-full-400ppm","tmean",4,0,0.263256666666667
-106.5326,38.8327,"DGVM-full-400ppm","tmean",4,0,0.243243333333333
-106.5326,38.8327,"DGVM-full-400ppm","ppt",0.9,0,0
-106.5326,38.8327,"DGVM-full-400ppm","tmean",0.2,0,0
-106.5326,38.8327,"DGVM-full-400ppm","ppt",1.1,0,0
-106.5326,38.8327,"DGVM-full-400ppm","ppt",1.2,0,0
-106.5326,38.8327,"DGVM-full-400ppm","tmean",2,0,0.0635066666666667
-106.5826,38.2161,"DGVM-full-400ppm","ppt",0.9,0,0
-106.5826,38.2161,"DGVM-full-400ppm","tmean",0.2,0,0
-106.5826,38.2161,"DGVM-full-400ppm","ppt",1.1,0,0
-106.5826,38.2161,"DGVM-full-400ppm","tmean",2,0,0.00501666666666667
-106.5826,38.2161,"DGVM-full-400ppm","tmean",4,0,0.252586666666667
-106.5826,38.2161,"DGVM-full-400ppm","ppt",1.2,0,0
-106.7243,38.8244,"DGVM-full-400ppm","ppt",1.2,0,0
-106.7243,38.8244,"DGVM-full-400ppm","tmean",4,0,0.240216666666667
-106.7243,38.8244,"DGVM-full-400ppm","ppt",0.9,0,0
-106.7243,38.8244,"DGVM-full-400ppm","tmean",0.2,0,0
-106.7243,38.8244,"DGVM-full-400ppm","ppt",1.1,0,0
-106.7243,38.8244,"DGVM-full-400ppm","tmean",2,0,0
-106.8159,36.4327,"DGVM-full-400ppm","ppt",0.9,0.15296,0.114236666666667
-106.8159,36.4327,"DGVM-full-400ppm","ppt",1.2,0.15296,0.166883333333333
-106.8159,36.4327,"DGVM-full-400ppm","tmean",0.2,0.15296,0.138736666666667
-106.8159,36.4327,"DGVM-full-400ppm","ppt",1.1,0.15296,0.13673
-106.8159,36.4327,"DGVM-full-400ppm","tmean",2,0.15296,0.14329
-106.8159,36.4327,"DGVM-full-400ppm","tmean",4,0.15296,0.15993
-106.8159,42.8579,"DGVM-full-400ppm","tmean",0.2,0.0548966666666667,0.0630466666666667
-106.8159,42.8579,"DGVM-full-400ppm","ppt",0.9,0.0548966666666667,0.0517233333333333
-106.8159,42.8579,"DGVM-full-400ppm","tmean",2,0.0548966666666667,0.0706366666666667
-106.8159,42.8579,"DGVM-full-400ppm","ppt",1.1,0.0548966666666667,0.08283
-106.8159,42.8579,"DGVM-full-400ppm","ppt",1.2,0.0548966666666667,0.09217
-106.8159,42.8579,"DGVM-full-400ppm","tmean",4,0.0548966666666667,0.0587166666666667
-106.8326,34.4159,"DGVM-full-400ppm","tmean",2,0.0446433333333333,0.0354966666666667
-106.8326,34.4159,"DGVM-full-400ppm","ppt",0.9,0.0446433333333333,0.03825
-106.8326,34.4159,"DGVM-full-400ppm","ppt",1.2,0.0446433333333333,0.0498333333333333
-106.8326,34.4159,"DGVM-full-400ppm","tmean",0.2,0.0446433333333333,0.0432633333333333
-106.8326,34.4159,"DGVM-full-400ppm","tmean",4,0.0446433333333333,0.000893333333333333
-106.8326,34.4159,"DGVM-full-400ppm","ppt",1.1,0.0446433333333333,0.04701
-106.8493,40.2828,"DGVM-full-400ppm","ppt",1.1,0.257346666666667,0.255153333333333
-106.8493,40.2828,"DGVM-full-400ppm","tmean",4,0.257346666666667,0.140766666666667
-106.8493,40.2828,"DGVM-full-400ppm","ppt",0.9,0.257346666666667,0.22719
-106.8493,40.2828,"DGVM-full-400ppm","tmean",0.2,0.257346666666667,0.27116
-106.8493,40.2828,"DGVM-full-400ppm","tmean",2,0.257346666666667,0.189093333333333
-106.8493,40.2828,"DGVM-full-400ppm","ppt",1.2,0.257346666666667,0.29493
-106.8826,38.4077,"DGVM-full-400ppm","ppt",1.1,0,0
-106.8826,38.4077,"DGVM-full-400ppm","ppt",0.9,0,0
-106.8826,38.4077,"DGVM-full-400ppm","tmean",0.2,0,0
-106.8826,38.4077,"DGVM-full-400ppm","ppt",1.2,0,0
-106.8826,38.4077,"DGVM-full-400ppm","tmean",2,0,0.27
-106.8826,38.4077,"DGVM-full-400ppm","tmean",4,0,0.17018
-106.9326,38.4494,"DGVM-full-400ppm","ppt",0.9,0,0
-106.9326,38.4494,"DGVM-full-400ppm","tmean",4,0,0.0929966666666667
-106.9326,38.4494,"DGVM-full-400ppm","ppt",1.1,0,4e-05
-106.9326,38.4494,"DGVM-full-400ppm","ppt",1.2,0,0
-106.9326,38.4494,"DGVM-full-400ppm","tmean",0.2,0,0.00034
-106.9326,38.4494,"DGVM-full-400ppm","tmean",2,0,0.2426
-107.0243,38.4911,"DGVM-full-400ppm","ppt",0.9,0.207036666666667,0.141536666666667
-107.0243,38.4911,"DGVM-full-400ppm","tmean",4,0.207036666666667,0.0852866666666667
-107.0243,38.4911,"DGVM-full-400ppm","ppt",1.1,0.207036666666667,0.15435
-107.0243,38.4911,"DGVM-full-400ppm","tmean",0.2,0.207036666666667,0.184973333333333
-107.0243,38.4911,"DGVM-full-400ppm","ppt",1.2,0.207036666666667,0.22981
-107.0243,38.4911,"DGVM-full-400ppm","tmean",2,0.207036666666667,0.10309
-107.0326,38.4911,"DGVM-full-400ppm","ppt",0.9,0.180236666666667,0.16605
-107.0326,38.4911,"DGVM-full-400ppm","ppt",1.2,0.180236666666667,0.225733333333333
-107.0326,38.4911,"DGVM-full-400ppm","tmean",2,0.180236666666667,0.09916
-107.0326,38.4911,"DGVM-full-400ppm","ppt",1.1,0.180236666666667,0.186133333333333
-107.0326,38.4911,"DGVM-full-400ppm","tmean",0.2,0.180236666666667,0.171056666666667
-107.0326,38.4911,"DGVM-full-400ppm","tmean",4,0.180236666666667,0.07965
