model ,site,lon,lat,baseline,predicted,scenario
randfor,20,-109.2954188,41.98708122,2.5137701,6.43857,2inctemp
randfor,20,-109.2954188,41.98708122,2.5137701,13.1598997,4inctemp
randfor,20,-109.2954188,41.98708122,2.5137701,4.2846799,ppt10dec
randfor,20,-109.2954188,41.98708122,2.5137701,6.7592301,ppt10inc
randfor,20,-109.2954188,41.98708122,2.5137701,10.0439997,ppt20inc
randfor,21,-109.2490188,41.98708122,1.92369,2.4130001,02inctemp
randfor,21,-109.2490188,41.98708122,1.92369,6.8840098,2inctemp
randfor,21,-109.2490188,41.98708122,1.92369,14.3830004,4inctemp
randfor,21,-109.2490188,41.98708122,1.92369,3.5092101,ppt10dec
randfor,21,-109.2490188,41.98708122,1.92369,8.3732901,ppt10inc
randfor,21,-109.2490188,41.98708122,1.92369,9.5256996,ppt20inc
randfor,22,-109.2954188,41.97773122,3.7912199,3.8689101,02inctemp
randfor,22,-109.2954188,41.97773122,3.7912199,7.2856598,2inctemp
randfor,22,-109.2954188,41.97773122,3.7912199,13.4510002,4inctemp
randfor,22,-109.2954188,41.97773122,3.7912199,4.4246302,ppt10dec
randfor,22,-109.2954188,41.97773122,3.7912199,7.3319101,ppt10inc
randfor,22,-109.2954188,41.97773122,3.7912199,9.8183804,ppt20inc
randfor,23,-109.2838188,41.97773122,6.9784899,6.4038501,02inctemp
randfor,23,-109.2838188,41.97773122,6.9784899,8.4875498,2inctemp
randfor,23,-109.2838188,41.97773122,6.9784899,13.7662001,4inctemp
randfor,23,-109.2838188,41.97773122,6.9784899,5.1849298,ppt10dec
randfor,23,-109.2838188,41.97773122,6.9784899,7.9274902,ppt10inc
randfor,23,-109.2838188,41.97773122,6.9784899,9.8987398,ppt20inc
randfor,24,-109.2490188,41.96838122,3.90433,3.96541,02inctemp
randfor,24,-109.2490188,41.96838122,3.90433,8.0604897,2inctemp
randfor,24,-109.2490188,41.96838122,3.90433,14.6590004,4inctemp
randfor,24,-109.2490188,41.96838122,3.90433,4.3935399,ppt10dec
randfor,24,-109.2490188,41.96838122,3.90433,7.7384,ppt10inc
randfor,24,-109.2490188,41.96838122,3.90433,9.5967102,ppt20inc
randfor,25,-109.2374188,41.96838122,1.52614,1.84268,02inctemp
randfor,25,-109.2374188,41.96838122,1.52614,6.8748999,2inctemp
randfor,25,-109.2374188,41.96838122,1.52614,14.4306002,4inctemp
randfor,25,-109.2374188,41.96838122,1.52614,2.8267801,ppt10dec
randfor,25,-109.2374188,41.96838122,1.52614,7.1673498,ppt10inc
randfor,25,-109.2374188,41.96838122,1.52614,9.3147097,ppt20inc
randfor,26,-109.9334188,42.64158122,11.7367001,11.8739996,02inctemp
randfor,26,-109.9334188,42.64158122,11.7367001,11.2515001,2inctemp
randfor,26,-109.9334188,42.64158122,11.7367001,10.5733004,4inctemp
randfor,26,-109.9334188,42.64158122,11.7367001,14.3015003,ppt10dec
randfor,26,-109.9334188,42.64158122,11.7367001,11.3535004,ppt10inc
randfor,26,-109.9334188,42.64158122,11.7367001,12.7000999,ppt20inc
randfor,27,-109.7478188,42.50133122,5.8422198,6.2266202,02inctemp
randfor,27,-109.7478188,42.50133122,5.8422198,7.03859,2inctemp
randfor,27,-109.7478188,42.50133122,5.8422198,10.5468998,4inctemp
randfor,27,-109.7478188,42.50133122,5.8422198,10.3493004,ppt10dec
randfor,27,-109.7478188,42.50133122,5.8422198,10.2631998,ppt10inc
randfor,27,-109.7478188,42.50133122,5.8422198,11.4211998,ppt20inc
randfor,28,-109.7362188,42.50133122,5.8422198,6.2266202,02inctemp
randfor,28,-109.7362188,42.50133122,5.8422198,7.03859,2inctemp
randfor,28,-109.7362188,42.50133122,5.8422198,10.5468998,4inctemp
randfor,28,-109.7362188,42.50133122,5.8422198,10.3493004,ppt10dec
randfor,28,-109.7362188,42.50133122,5.8422198,10.2631998,ppt10inc
randfor,28,-109.7362188,42.50133122,5.8422198,11.4211998,ppt20inc
randfor,29,-109.7246188,42.50133122,10.4137001,10.3871002,02inctemp
randfor,29,-109.7246188,42.50133122,10.4137001,10.5874996,2inctemp
randfor,29,-109.7246188,42.50133122,10.4137001,10.9567003,4inctemp
randfor,29,-109.7246188,42.50133122,10.4137001,10.9070997,ppt10dec
randfor,29,-109.7246188,42.50133122,10.4137001,11.1868,ppt10inc
randfor,29,-109.7246188,42.50133122,10.4137001,12.0181999,ppt20inc
randfor,30,-109.7014188,42.50133122,12.3970003,11.3002996,02inctemp
randfor,30,-109.7014188,42.50133122,12.3970003,10.2948999,2inctemp
randfor,30,-109.7014188,42.50133122,12.3970003,11.5538998,4inctemp
randfor,30,-109.7014188,42.50133122,12.3970003,11.6485004,ppt10dec
randfor,30,-109.7014188,42.50133122,12.3970003,11.5945997,ppt10inc
randfor,30,-109.7014188,42.50133122,12.3970003,11.3326998,ppt20inc
randfor,31,-109.6898188,42.50133122,9.4573002,7.6682601,02inctemp
randfor,31,-109.6898188,42.50133122,9.4573002,8.5671902,2inctemp
randfor,31,-109.6898188,42.50133122,9.4573002,10.8894997,4inctemp
randfor,31,-109.6898188,42.50133122,9.4573002,8.2993402,ppt10dec
randfor,31,-109.6898188,42.50133122,9.4573002,10.0757999,ppt10inc
randfor,31,-109.6898188,42.50133122,9.4573002,11.7377996,ppt20inc
randfor,32,-109.6666188,42.50133122,7.64047,8.2970505,02inctemp
randfor,32,-109.6666188,42.50133122,7.64047,8.1471996,2inctemp
randfor,32,-109.6666188,42.50133122,7.64047,11.0411997,4inctemp
randfor,32,-109.6666188,42.50133122,7.64047,9.2568798,ppt10dec
randfor,32,-109.6666188,42.50133122,7.64047,13.8824997,ppt10inc
randfor,32,-109.6666188,42.50133122,7.64047,11.6779003,ppt20inc
randfor,33,-109.7478188,42.49198122,5.8422198,6.2266202,02inctemp
randfor,33,-109.7478188,42.49198122,5.8422198,7.03859,2inctemp
randfor,33,-109.7478188,42.49198122,5.8422198,10.5468998,4inctemp
randfor,33,-109.7478188,42.49198122,5.8422198,10.3493004,ppt10dec
randfor,33,-109.7478188,42.49198122,5.8422198,10.2631998,ppt10inc
randfor,33,-109.7478188,42.49198122,5.8422198,11.4211998,ppt20inc
randfor,34,-109.7014188,42.49198122,12.3970003,11.3002996,02inctemp
randfor,34,-109.7014188,42.49198122,12.3970003,10.2948999,2inctemp
randfor,34,-109.7014188,42.49198122,12.3970003,11.5538998,4inctemp
randfor,34,-109.7014188,42.49198122,12.3970003,11.6485004,ppt10dec
randfor,34,-109.7014188,42.49198122,12.3970003,11.5945997,ppt10inc
randfor,34,-109.7014188,42.49198122,12.3970003,11.3326998,ppt20inc
randfor,35,-109.6666188,42.49198122,7.64047,8.2970505,02inctemp
randfor,35,-109.6666188,42.49198122,7.64047,8.1471996,2inctemp
randfor,35,-109.6666188,42.49198122,7.64047,11.0411997,4inctemp
randfor,35,-109.6666188,42.49198122,7.64047,9.2568798,ppt10dec
randfor,35,-109.6666188,42.49198122,7.64047,13.8824997,ppt10inc
randfor,35,-109.6666188,42.49198122,7.64047,11.6779003,ppt20inc
randfor,36,-109.7246188,42.48263122,3.2516601,4.0048299,02inctemp
randfor,36,-109.7246188,42.48263122,3.2516601,6.7689199,2inctemp
randfor,36,-109.7246188,42.48263122,3.2516601,10.0823002,4inctemp
randfor,36,-109.7246188,42.48263122,3.2516601,8.7036104,ppt10dec
randfor,36,-109.7246188,42.48263122,3.2516601,8.36553,ppt10inc
randfor,36,-109.7246188,42.48263122,3.2516601,11.0234003,ppt20inc
randfor,37,-109.6782188,42.48263122,5.5269799,4.9532199,02inctemp
randfor,37,-109.6782188,42.48263122,5.5269799,7.1992202,2inctemp
randfor,37,-109.6782188,42.48263122,5.5269799,9.6543903,4inctemp
randfor,37,-109.6782188,42.48263122,5.5269799,6.9495802,ppt10dec
randfor,37,-109.6782188,42.48263122,5.5269799,9.0987396,ppt10inc
randfor,37,-109.6782188,42.48263122,5.5269799,10.8865004,ppt20inc
randfor,38,-109.6666188,42.48263122,5.5676198,6.02139,02inctemp
randfor,38,-109.6666188,42.48263122,5.5676198,7.2550302,2inctemp
randfor,38,-109.6666188,42.48263122,5.5676198,10.1891003,4inctemp
randfor,38,-109.6666188,42.48263122,5.5676198,7.9991202,ppt10dec
randfor,38,-109.6666188,42.48263122,5.5676198,10.8638,ppt10inc
randfor,38,-109.6666188,42.48263122,5.5676198,10.3371,ppt20inc
randfor,39,-109.7478188,42.47328122,6.6110401,7.1809301,02inctemp
randfor,39,-109.7478188,42.47328122,6.6110401,6.7760801,2inctemp
randfor,39,-109.7478188,42.47328122,6.6110401,9.6469402,4inctemp
randfor,39,-109.7478188,42.47328122,6.6110401,10.7033005,ppt10dec
randfor,39,-109.7478188,42.47328122,6.6110401,9.2473497,ppt10inc
randfor,39,-109.7478188,42.47328122,6.6110401,11.5199003,ppt20inc
randfor,40,-109.7362188,42.47328122,6.6110401,7.1809301,02inctemp
randfor,40,-109.7362188,42.47328122,6.6110401,6.7760801,2inctemp
randfor,40,-109.7362188,42.47328122,6.6110401,9.6469402,4inctemp
randfor,40,-109.7362188,42.47328122,6.6110401,10.7033005,ppt10dec
randfor,40,-109.7362188,42.47328122,6.6110401,9.2473497,ppt10inc
randfor,40,-109.7362188,42.47328122,6.6110401,11.5199003,ppt20inc
randfor,41,-109.7014188,42.47328122,9.5766602,7.76299,02inctemp
randfor,41,-109.7014188,42.47328122,9.5766602,9.1349897,2inctemp
randfor,41,-109.7014188,42.47328122,9.5766602,11.6471004,4inctemp
randfor,41,-109.7014188,42.47328122,9.5766602,11.2750998,ppt10dec
randfor,41,-109.7014188,42.47328122,9.5766602,10.7360001,ppt10inc
randfor,41,-109.7014188,42.47328122,9.5766602,11.8112001,ppt20inc
randfor,42,-109.6898188,42.47328122,7.2221999,6.4509902,02inctemp
randfor,42,-109.6898188,42.47328122,7.2221999,8.1395102,2inctemp
randfor,42,-109.6898188,42.47328122,7.2221999,10.8811998,4inctemp
randfor,42,-109.6898188,42.47328122,7.2221999,11.1075001,ppt10dec
randfor,42,-109.6898188,42.47328122,7.2221999,10.8093004,ppt10inc
randfor,42,-109.6898188,42.47328122,7.2221999,11.5024004,ppt20inc
randfor,43,-109.6666188,42.47328122,13.5443001,12.0025997,02inctemp
randfor,43,-109.6666188,42.47328122,13.5443001,10.7917995,2inctemp
randfor,43,-109.6666188,42.47328122,13.5443001,11.8515997,4inctemp
randfor,43,-109.6666188,42.47328122,13.5443001,11.6209002,ppt10dec
randfor,43,-109.6666188,42.47328122,13.5443001,12.2599001,ppt10inc
randfor,43,-109.6666188,42.47328122,13.5443001,11.0549002,ppt20inc
randfor,44,-109.6550188,42.47328122,8.5327597,8.89923,02inctemp
randfor,44,-109.6550188,42.47328122,8.5327597,8.2784204,2inctemp
randfor,44,-109.6550188,42.47328122,8.5327597,10.1292,4inctemp
randfor,44,-109.6550188,42.47328122,8.5327597,10.7075005,ppt10dec
randfor,44,-109.6550188,42.47328122,8.5327597,15.4443998,ppt10inc
randfor,44,-109.6550188,42.47328122,8.5327597,12.0445995,ppt20inc
randfor,45,-109.7478188,42.46393122,9.1495504,8.0374899,02inctemp
randfor,45,-109.7478188,42.46393122,9.1495504,9.0814505,2inctemp
randfor,45,-109.7478188,42.46393122,9.1495504,12.5872002,4inctemp
randfor,45,-109.7478188,42.46393122,9.1495504,12.8599997,ppt10dec
randfor,45,-109.7478188,42.46393122,9.1495504,10.3605003,ppt10inc
randfor,45,-109.7478188,42.46393122,9.1495504,12.0139999,ppt20inc
randfor,46,-109.6782188,42.46393122,7.8927999,7.12433,02inctemp
randfor,46,-109.6782188,42.46393122,7.8927999,8.5413799,2inctemp
randfor,46,-109.6782188,42.46393122,7.8927999,10.8859997,4inctemp
randfor,46,-109.6782188,42.46393122,7.8927999,8.6527996,ppt10dec
randfor,46,-109.6782188,42.46393122,7.8927999,11.6712999,ppt10inc
randfor,46,-109.6782188,42.46393122,7.8927999,11.3807001,ppt20inc
randfor,47,-109.6666188,42.46393122,10.3684998,9.2849398,02inctemp
randfor,47,-109.6666188,42.46393122,10.3684998,9.5344296,2inctemp
randfor,47,-109.6666188,42.46393122,10.3684998,11.5125999,4inctemp
randfor,47,-109.6666188,42.46393122,10.3684998,9.8756905,ppt10dec
randfor,47,-109.6666188,42.46393122,10.3684998,11.9956999,ppt10inc
randfor,47,-109.6666188,42.46393122,10.3684998,11.5425997,ppt20inc
randfor,48,-109.7478188,42.45458122,9.1495504,8.0374899,02inctemp
randfor,48,-109.7478188,42.45458122,9.1495504,9.0814505,2inctemp
randfor,48,-109.7478188,42.45458122,9.1495504,12.5872002,4inctemp
randfor,48,-109.7478188,42.45458122,9.1495504,12.8599997,ppt10dec
randfor,48,-109.7478188,42.45458122,9.1495504,10.3605003,ppt10inc
randfor,48,-109.7478188,42.45458122,9.1495504,12.0139999,ppt20inc
randfor,49,-109.7246188,42.45458122,6.7397199,6.6001501,02inctemp
randfor,49,-109.7246188,42.45458122,6.7397199,8.1060896,2inctemp
randfor,49,-109.7246188,42.45458122,6.7397199,11.5859003,4inctemp
randfor,49,-109.7246188,42.45458122,6.7397199,11.3048,ppt10dec
randfor,49,-109.7246188,42.45458122,6.7397199,9.6695299,ppt10inc
randfor,49,-109.7246188,42.45458122,6.7397199,11.6604004,ppt20inc
randfor,50,-109.7130188,42.45458122,6.5052199,5.5485201,02inctemp
randfor,50,-109.7130188,42.45458122,6.5052199,7.4375601,2inctemp
randfor,50,-109.7130188,42.45458122,6.5052199,10.9654999,4inctemp
randfor,50,-109.7130188,42.45458122,6.5052199,11.0495996,ppt10dec
randfor,50,-109.7130188,42.45458122,6.5052199,10.2245998,ppt10inc
randfor,50,-109.7130188,42.45458122,6.5052199,11.6627998,ppt20inc
randfor,51,-109.7014188,42.45458122,5.7427101,4.9988298,02inctemp
randfor,51,-109.7014188,42.45458122,5.7427101,7.0358601,2inctemp
randfor,51,-109.7014188,42.45458122,5.7427101,10.5918999,4inctemp
randfor,51,-109.7014188,42.45458122,5.7427101,9.4778299,ppt10dec
randfor,51,-109.7014188,42.45458122,5.7427101,10.2944002,ppt10inc
randfor,51,-109.7014188,42.45458122,5.7427101,11.1701002,ppt20inc
randfor,52,-109.7478188,42.44523122,7.9739099,7.8438902,02inctemp
randfor,52,-109.7478188,42.44523122,7.9739099,9.1716404,2inctemp
randfor,52,-109.7478188,42.44523122,7.9739099,12.2296,4inctemp
randfor,52,-109.7478188,42.44523122,7.9739099,13.6519003,ppt10dec
randfor,52,-109.7478188,42.44523122,7.9739099,10.6759005,ppt10inc
randfor,52,-109.7478188,42.44523122,7.9739099,13.0657997,ppt20inc
randfor,53,-109.7246188,42.44523122,6.4295301,6.572,02inctemp
randfor,53,-109.7246188,42.44523122,6.4295301,8.0660896,2inctemp
randfor,53,-109.7246188,42.44523122,6.4295301,11.8887997,4inctemp
randfor,53,-109.7246188,42.44523122,6.4295301,12.3296003,ppt10dec
randfor,53,-109.7246188,42.44523122,6.4295301,10.0132999,ppt10inc
randfor,53,-109.7246188,42.44523122,6.4295301,11.9028997,ppt20inc
randfor,54,-109.6782188,42.44523122,4.1416898,3.8304601,02inctemp
randfor,54,-109.6782188,42.44523122,4.1416898,6.4776502,2inctemp
randfor,54,-109.6782188,42.44523122,4.1416898,9.7800598,4inctemp
randfor,54,-109.6782188,42.44523122,4.1416898,9.9271202,ppt10dec
randfor,54,-109.6782188,42.44523122,4.1416898,10.9595003,ppt10inc
randfor,54,-109.6782188,42.44523122,4.1416898,12.9448996,ppt20inc
randfor,55,-109.7362188,42.43588122,7.05024,6.0668101,02inctemp
randfor,55,-109.7362188,42.43588122,7.05024,7.72648,2inctemp
randfor,55,-109.7362188,42.43588122,7.05024,11.4187002,4inctemp
randfor,55,-109.7362188,42.43588122,7.05024,10.9778996,ppt10dec
randfor,55,-109.7362188,42.43588122,7.05024,9.84268,ppt10inc
randfor,55,-109.7362188,42.43588122,7.05024,11.6646996,ppt20inc
randfor,56,-109.7246188,42.43588122,4.8396902,5.2290802,02inctemp
randfor,56,-109.7246188,42.43588122,4.8396902,9.1281404,2inctemp
randfor,56,-109.7246188,42.43588122,4.8396902,10.9490004,4inctemp
randfor,56,-109.7246188,42.43588122,4.8396902,8.6823702,ppt10dec
randfor,56,-109.7246188,42.43588122,4.8396902,8.4421196,ppt10inc
randfor,56,-109.7246188,42.43588122,4.8396902,10.9965,ppt20inc
randfor,57,-109.7130188,42.43588122,5.7087998,4.8761702,02inctemp
randfor,57,-109.7130188,42.43588122,5.7087998,7.2238498,2inctemp
randfor,57,-109.7130188,42.43588122,5.7087998,11.0851002,4inctemp
randfor,57,-109.7130188,42.43588122,5.7087998,11.5951004,ppt10dec
randfor,57,-109.7130188,42.43588122,5.7087998,9.9705496,ppt10inc
randfor,57,-109.7130188,42.43588122,5.7087998,12.6266003,ppt20inc
randfor,58,-109.6898188,42.43588122,3.6305101,4.5820098,02inctemp
randfor,58,-109.6898188,42.43588122,3.6305101,6.50881,2inctemp
randfor,58,-109.6898188,42.43588122,3.6305101,10.2894001,4inctemp
randfor,58,-109.6898188,42.43588122,3.6305101,11.1303997,ppt10dec
randfor,58,-109.6898188,42.43588122,3.6305101,10.8097,ppt10inc
randfor,58,-109.6898188,42.43588122,3.6305101,13.4373999,ppt20inc
randfor,59,-109.6782188,42.43588122,5.2125602,5.7804399,02inctemp
randfor,59,-109.6782188,42.43588122,5.2125602,8.7905302,2inctemp
randfor,59,-109.6782188,42.43588122,5.2125602,11.3386002,4inctemp
randfor,59,-109.6782188,42.43588122,5.2125602,12.9140997,ppt10dec
randfor,59,-109.6782188,42.43588122,5.2125602,10.5173998,ppt10inc
randfor,59,-109.6782188,42.43588122,5.2125602,12.6554003,ppt20inc
randfor,60,-109.6666188,42.43588122,11.0258999,9.0882397,02inctemp
randfor,60,-109.6666188,42.43588122,11.0258999,9.31318,2inctemp
randfor,60,-109.6666188,42.43588122,11.0258999,11.8486996,4inctemp
randfor,60,-109.6666188,42.43588122,11.0258999,13.8520002,ppt10dec
randfor,60,-109.6666188,42.43588122,11.0258999,12.3949003,ppt10inc
randfor,60,-109.6666188,42.43588122,11.0258999,13.4768,ppt20inc
randfor,61,-109.6550188,42.43588122,6.6310101,6.8968,02inctemp
randfor,61,-109.6550188,42.43588122,6.6310101,8.0483599,2inctemp
randfor,61,-109.6550188,42.43588122,6.6310101,11.0173998,4inctemp
randfor,61,-109.6550188,42.43588122,6.6310101,10.6014004,ppt10dec
randfor,61,-109.6550188,42.43588122,6.6310101,11.0513,ppt10inc
randfor,61,-109.6550188,42.43588122,6.6310101,15.3460999,ppt20inc
randfor,62,-103.5418188,47.00803122,14.4512997,14.4812002,02inctemp
randfor,62,-103.5418188,47.00803122,14.4512997,12.1243,2inctemp
randfor,62,-103.5418188,47.00803122,14.4512997,16.5697002,4inctemp
randfor,62,-103.5418188,47.00803122,14.4512997,12.5146999,ppt10dec
randfor,62,-103.5418188,47.00803122,14.4512997,14.2545004,ppt10inc
randfor,62,-103.5418188,47.00803122,14.4512997,14.0735998,ppt20inc
randfor,63,-110.7106188,39.14468122,9.3017702,9.80089,02inctemp
randfor,63,-110.7106188,39.14468122,9.3017702,25.0368004,2inctemp
