"longitude","latitude","LT_data","extra","outlier","climate","rings","Comp.1","Comp.2","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","site"
-109.724618792539,42.4545812209583,1,0,0,"cold.Psummer","mid",1.20325459041864,-5.386112753491,19,180,38,9676,265,-203,468,118,-108,143,-108,237,34,11,34,86,37,74,37,49
-109.713018792539,42.4545812209583,1,0,0,"cold.Psummer","mid",1.33304858496737,-5.27324531896624,19,179,38,9674,263,-203,466,117,-108,142,-108,239,35,12,35,87,38,74,38,50
-109.701418792539,42.4545812209583,1,0,0,"cold.Psummer","mid",1.42995964348144,-5.17649958194044,18,179,38,9630,262,-201,463,116,-108,141,-108,244,35,12,32,87,40,75,40,51
-109.747818792539,42.4452312209583,1,0,0,"cold.Psummer","mid",1.18617090370087,-5.41364510562287,19,181,38,9680,266,-203,469,118,-108,143,-108,237,34,11,34,86,37,74,37,52
-109.724618792539,42.4452312209583,1,0,0,"cold.Psummer","mid",1.19244178523596,-5.38853723493331,20,180,38,9688,265,-203,468,118,-108,143,-108,237,34,11,34,86,37,74,37,53
-109.678218792539,42.4452312209583,1,0,0,"cold.Psummer","mid",1.30092373345475,-5.24769628010552,19,179,38,9649,264,-201,465,118,-107,143,-107,241,35,12,33,87,38,74,38,54
-109.736218792539,42.4358812209583,1,0,0,"cold.Psummer","mid",1.16504523793195,-5.42091232930276,20,181,38,9703,266,-203,469,118,-108,144,-108,237,34,11,34,86,37,74,37,55
-109.724618792539,42.4358812209583,1,0,0,"cold.Psummer","mid",1.18148987559789,-5.36696276968432,20,180,38,9660,265,-203,468,118,-107,143,-107,237,34,11,34,86,37,74,37,56
-109.713018792539,42.4358812209583,1,0,0,"cold.Psummer","mid",1.19217476908154,-5.38360898692175,20,180,38,9677,265,-203,468,118,-108,143,-108,237,34,11,34,86,37,74,37,57
-109.689818792539,42.4358812209583,1,0,0,"cold.Psummer","mid",1.18568921239472,-5.33491676604106,20,180,38,9663,264,-202,466,118,-107,143,-107,237,34,11,34,86,37,74,37,58
-109.678218792539,42.4358812209583,1,0,0,"cold.Psummer","mid",1.16279263876968,-5.36048042644162,20,180,38,9683,265,-202,467,119,-107,144,-107,237,34,11,34,86,37,74,37,59
-109.666618792539,42.4358812209583,1,0,0,"cold.Psummer","mid",1.10914012608008,-5.36220683185671,21,180,38,9698,266,-202,468,119,-107,145,-107,236,34,11,34,85,37,73,37,60
-109.655018792539,42.4358812209583,1,0,0,"cold.Psummer","mid",1.0915436128408,-5.35837387441426,21,180,38,9720,266,-202,468,120,-107,145,-107,234,34,11,34,85,37,72,37,61
-103.541818792539,47.0080312209583,0,1,0,"cold.Psummer","mid",2.30131749220584,-4.86346049082611,59,146,31,10884,297,-165,462,171,-85,198,-85,389,82,8,68,194,30,171,30,62
-110.710618792539,39.1446812209583,0,1,0,"warm.Psummer","mid",-2.76111344651594,-3.79694871750849,92,166,37,9470,323,-123,446,204,-33,213,-33,205,26,12,26,71,38,61,38,63
-108.007818792539,43.0903812209583,1,0,0,"warm.Psummer","mid",-1.82689823004093,-4.55424482273263,71,161,34,10178,315,-150,465,123,-63,202,-63,209,42,6,60,101,19,63,19,64
-108.019418792539,43.0810312209583,1,0,0,"warm.Psummer","mid",-1.85866096630954,-4.49770704871928,71,161,34,10166,315,-149,464,123,-62,202,-62,208,42,6,60,101,19,62,19,65
-107.984618792539,43.0810312209583,1,0,0,"warm.Psummer","mid",-1.88271091572504,-4.57964350064605,71,160,34,10207,316,-149,465,123,-62,203,-62,208,41,6,59,100,19,63,19,66
-108.993818792539,40.5004312209583,0,1,0,"warm.Psummer","mid",-2.02388781327617,-4.24567875103521,78,180,38,9745,327,-145,472,128,-52,202,-52,241,29,11,25,72,40,60,40,67
-108.935818792539,40.4817312209583,1,0,0,"warm.Psummer","mid",-1.80613077734075,-4.25434633358913,76,180,38,9714,324,-146,470,147,-53,200,-53,249,30,12,25,75,41,62,41,68
-108.135418792539,44.8107812209583,1,0,0,"warm.Psummer","mid",-1.53556485433138,-4.14674825330325,75,163,35,9908,316,-144,460,129,-56,203,-56,237,41,8,53,105,29,75,29,69
-107.729418792539,43.8570812209583,1,0,0,"warm.Psummer","mid",-1.03507543976165,-4.35415419026673,70,171,35,10016,318,-161,479,121,-61,200,-61,260,45,9,49,114,32,72,32,70
-108.054218792539,43.6981312209583,1,0,0,"warm.Psummer","mid",-1.26472310939528,-3.95679444122941,74,165,35,9909,318,-149,467,125,-55,203,-55,256,47,9,53,117,29,72,29,71
-108.228218792539,43.6700812209583,1,0,0,"warm.Psummer","mid",-1.52200443293061,-3.86330236303728,78,167,35,9874,321,-145,466,129,-52,205,-52,253,49,8,55,118,27,70,27,72
-108.205018792539,43.6607312209583,1,0,0,"warm.Psummer","mid",-1.38712523781068,-3.81415222473327,77,167,35,9895,320,-146,466,128,-52,205,-52,256,49,9,54,119,29,70,29,73
-107.984618792539,42.9781812209583,1,0,0,"warm.Psummer","mid",-1.59656958574868,-4.28096403820852,68,159,34,10086,312,-147,459,120,-63,199,-63,215,42,7,59,102,22,64,22,74
-108.970618792539,40.5004312209583,1,0,0,"warm.Psummer","mid",-1.77902748825321,-4.14066508519961,76,179,38,9615,322,-144,466,146,-52,199,-52,250,30,12,25,75,41,63,41,75
-109.307018792539,40.4910812209583,1,0,0,"warm.Psummer","mid",-1.19036029902925,-3.87673812152228,70,166,36,9577,310,-141,451,142,-57,192,-57,255,29,13,22,76,44,65,44,76
-108.935818792539,40.4723812209583,1,0,0,"warm.Psummer","mid",-1.36823319419691,-3.93712057934834,73,175,38,9546,317,-142,459,143,-53,195,-53,265,31,13,23,79,44,68,44,77
-108.924218792539,40.4723812209583,1,0,0,"warm.Psummer","mid",-1.67459444736325,-4.19730465073303,75,179,38,9664,322,-145,467,146,-53,199,-53,255,30,12,24,77,42,65,42,78
-108.877818792539,40.4630312209583,1,0,0,"warm.Psummer","mid",-1.58997086487151,-4.11144654502428,74,179,38,9628,320,-145,465,145,-53,197,-53,258,31,12,25,78,42,65,42,79
-109.167818792539,39.8646312209583,0,1,0,"warm.Psummer","mid",-1.30765136968933,-4.12461193776853,80,164,35,10049,321,-141,462,154,-54,207,-54,266,30,14,19,81,49,68,49,80
-107.509018792539,43.9879812209583,1,0,0,"warm.Psummer","mid",-0.043144976703896,-4.0765813248245,63,173,36,9828,309,-168,477,113,-66,191,-66,296,49,12,46,127,39,81,39,81
-107.532218792539,43.9318812209583,1,0,0,"warm.Psummer","mid",-0.0130072101203244,-3.98719197399297,62,173,36,9804,309,-167,476,111,-65,191,-65,299,49,12,46,128,40,81,40,82
-107.474218792539,43.7261812209583,1,0,0,"warm.Psummer","mid",-0.0193080423555341,-3.9154684736375,63,174,36,9738,310,-165,475,111,-63,191,-63,302,51,12,46,131,39,82,39,83
-109.225818792539,41.9309812209583,1,0,0,"cold.Psummer","mid",0.0351389735212527,-4.50812142172383,39,166,36,9694,280,-171,451,88,-88,164,-88,218,32,11,32,78,35,63,35,84
-108.077418792539,41.4728312209583,1,0,0,"warm.Psummer","mid",-0.743024521052134,-3.82414965319061,48,162,38,9156,284,-142,426,140,-69,168,-69,225,30,10,33,77,32,69,32,85
-107.949818792539,41.0614312209583,1,0,0,"warm.Psummer","mid",-0.323071756491003,-3.77556703286094,55,175,39,9320,297,-151,448,102,-67,175,-67,271,31,14,23,82,46,73,46,86
-107.880218792539,41.0614312209583,1,0,0,"warm.Psummer","mid",-0.257168801095477,-3.72769146307142,56,174,38,9375,298,-150,448,103,-67,177,-67,275,32,14,23,84,48,73,48,87
-108.042618792539,41.0240312209583,1,0,0,"warm.Psummer","mid",-0.238541045980624,-3.72591077390867,54,176,39,9251,295,-152,447,100,-67,173,-67,272,31,14,22,82,47,73,47,88
-107.984618792539,41.0146812209583,1,0,0,"cold.Psummer","mid",0.0336411838368424,-3.6676635342112,53,175,39,9272,294,-153,447,99,-68,172,-68,284,32,15,21,85,50,76,50,89
-108.297818792539,40.6313312209583,0,1,0,"warm.Psummer","mid",-0.367700421106114,-4.08638046415387,61,189,39,9484,309,-164,473,59,-65,182,-65,287,31,15,22,84,50,72,50,90
-108.808218792539,40.4536812209583,1,0,0,"warm.Psummer","mid",-0.781042387668221,-3.72190138631476,67,175,38,9378,308,-145,453,137,-56,188,-56,285,32,14,23,84,48,73,48,91
-107.416218792539,43.9412312209583,1,0,0,"cold.Psummer","mid",0.0759310081781466,-4.32622712094086,63,176,36,9986,311,-174,485,115,-69,192,-69,301,50,12,46,130,40,83,40,92
-107.427818792539,43.7168312209583,1,0,0,"cold.Psummer","mid",0.0783948069282139,-3.86574077278805,62,174,36,9704,308,-166,474,110,-64,189,-64,304,51,12,46,131,40,82,40,93
-109.272218792539,41.9777312209583,1,0,0,"cold.Psummer","mid",0.588012535929681,-4.45930920823001,32,167,37,9674,273,-178,451,82,-94,157,-94,230,33,12,30,81,39,66,39,94
-109.260618792539,41.9777312209583,1,0,0,"cold.Psummer","mid",0.61905256641686,-4.33505658362475,32,166,37,9633,272,-176,448,80,-93,156,-93,231,33,12,29,81,40,66,40,95
-109.260618792539,41.9683812209583,1,0,0,"cold.Psummer","mid",0.792623011839557,-4.28308808282505,30,164,36,9577,269,-175,444,78,-93,154,-93,236,33,12,28,81,41,68,41,96
-109.249018792539,41.9590312209583,1,0,0,"cold.Psummer","mid",0.264846474797972,-4.54448094022958,36,167,36,9699,277,-175,452,85,-91,160,-91,221,32,11,31,78,37,64,37,97
-109.307018792539,41.9496812209583,1,0,0,"cold.Psummer","mid",0.805132608121135,-4.31194120176401,30,164,36,9552,268,-176,444,78,-94,153,-94,235,33,12,29,81,40,68,40,98
-109.237418792539,41.9496812209583,1,0,0,"cold.Psummer","mid",0.12120431879677,-4.5759895225685,37,167,36,9713,279,-173,452,87,-90,162,-90,218,32,11,32,78,35,63,35,99
-109.249018792539,41.9403312209583,1,0,0,"cold.Psummer","mid",0.174276228888365,-4.55301752610203,36,166,36,9667,278,-173,451,86,-90,161,-90,219,32,11,32,78,35,64,35,100
-109.237418792539,41.9403312209583,1,0,0,"cold.Psummer","mid",0.0978646631417933,-4.52478272185256,38,166,36,9697,279,-172,451,87,-89,162,-89,218,32,11,32,78,35,63,35,101
-110.409018792539,41.9309812209583,1,0,0,"cold.Psummer","mid",0.950259080915611,-4.16614275491277,29,171,38,9385,271,-175,446,74,-74,150,-92,252,31,14,24,82,45,73,45,102
-109.307018792539,41.9309812209583,1,0,0,"cold.Psummer","mid",0.81202527659649,-4.21831504403036,30,163,36,9534,268,-174,442,78,-93,153,-93,236,33,12,28,81,41,68,41,103
-109.249018792539,41.9309812209583,1,0,0,"cold.Psummer","mid",0.204348874046777,-4.44177983752682,37,166,36,9670,277,-172,449,86,-89,161,-89,221,32,11,31,78,37,64,37,104
-109.237418792539,41.9309812209583,1,0,0,"cold.Psummer","mid",0.0903866794274591,-4.48048243949166,37,166,36,9656,279,-171,450,87,-88,162,-88,218,32,11,32,78,35,63,35,105
-110.420618792539,41.8748812209583,1,0,0,"cold.Psummer","mid",0.978277596373318,-3.93623018487026,28,168,38,9290,270,-171,441,73,-73,149,-90,255,31,14,24,82,46,73,46,106
-110.409018792539,41.8748812209583,1,0,0,"cold.Psummer","mid",0.910430524669712,-4.01648542907106,29,169,38,9323,271,-171,442,74,-72,150,-90,252,31,14,24,82,45,73,45,107
-110.432218792539,41.8655312209583,1,0,0,"cold.Psummer","mid",0.968780965609716,-3.83483949806194,29,168,38,9245,269,-169,438,73,-72,149,-89,258,31,14,24,83,46,73,46,108
-110.420618792539,41.8655312209583,1,0,0,"cold.Psummer","mid",0.938494045945377,-3.87407957045774,29,168,38,9259,270,-169,439,73,-72,149,-89,254,31,14,24,82,46,73,46,109
-109.307018792539,41.8561812209583,0,1,0,"cold.Psummer","mid",0.620506514532478,-4.07142734399494,33,161,36,9498,270,-168,438,80,-89,156,-89,235,33,12,29,81,40,68,40,110
-109.283818792539,42.4732812209583,0,1,0,"cold.Psummer","mid",1.38799932667518,-4.06653527573706,26,169,37,9449,264,-183,447,74,-96,148,-96,259,38,13,31,94,45,72,45,111
-109.260618792539,41.9590312209583,1,0,0,"cold.Psummer","mid",1.06169021529825,-3.98294380572933,29,162,36,9450,265,-173,438,75,-93,151,-93,245,34,13,27,84,44,69,44,112
-109.283818792539,41.9496812209583,1,0,0,"cold.Psummer","mid",1.02637182040568,-4.05935245221512,29,162,36,9483,266,-173,439,76,-93,152,-93,245,34,13,28,84,43,70,43,113
-109.272218792539,41.9496812209583,1,0,0,"cold.Psummer","mid",1.29411156494349,-3.73389598646153,27,160,37,9372,261,-171,432,72,-93,148,-93,253,34,14,25,85,47,71,47,114
-109.283818792539,41.9403312209583,1,0,0,"cold.Psummer","mid",1.00929349733782,-4.03713183586806,29,162,36,9474,266,-173,439,76,-93,152,-93,243,34,13,28,84,43,69,43,115
-109.272218792539,41.9403312209583,1,0,0,"cold.Psummer","mid",1.3353610604713,-3.75511557311792,27,159,36,9325,261,-171,432,72,-92,148,-92,255,34,14,25,85,47,72,47,116
-110.443818792539,41.9309812209583,1,0,0,"cold.Psummer","mid",1.50477997643641,-3.75777667255182,24,168,38,9212,264,-173,437,68,-76,144,-93,270,32,16,22,85,51,76,51,117
-109.295418792539,41.9309812209583,1,0,0,"cold.Psummer","mid",1.10118493669314,-3.98841403887002,29,161,36,9453,264,-173,437,75,-93,151,-93,247,34,13,28,84,44,71,44,118
-109.260618792539,41.9309812209583,1,0,0,"cold.Psummer","mid",1.29332700453377,-3.69773525740132,27,159,36,9326,261,-169,430,72,-92,149,-92,253,34,14,25,85,47,71,47,119
-110.420618792539,41.9216312209583,1,0,0,"cold.Psummer","mid",1.2285974187103,-3.92801577337172,26,170,38,9293,268,-174,442,71,-75,147,-92,261,32,15,24,85,48,74,48,120
-110.432218792539,41.9122812209583,1,0,0,"cold.Psummer","mid",1.57569272584024,-3.68321224974412,24,167,38,9185,262,-173,435,67,-77,143,-93,272,32,16,21,85,52,76,52,121
-110.420618792539,41.9122812209583,1,0,0,"cold.Psummer","mid",1.38870483205281,-3.80626071408814,25,168,38,9228,265,-173,438,69,-76,145,-92,267,32,15,22,85,50,76,50,122
-110.409018792539,41.9122812209583,1,0,0,"cold.Psummer","mid",1.37138204687375,-3.8388391369713,25,168,38,9241,265,-173,438,69,-76,145,-93,266,32,15,23,85,49,76,49,123
-110.420618792539,41.9029312209583,1,0,0,"cold.Psummer","mid",1.1435225684423,-3.8765704599969,27,169,38,9273,268,-172,440,71,-74,148,-91,259,31,15,23,83,48,73,48,124
-110.409018792539,41.9029312209583,1,0,0,"cold.Psummer","mid",1.36194814362322,-3.82679803564454,25,168,38,9227,265,-173,438,69,-76,145,-92,266,32,15,23,85,49,76,49,125
-110.432218792539,41.8935812209583,1,0,0,"cold.Psummer","mid",1.1889397075618,-3.87545835086138,27,169,38,9260,267,-172,439,72,-75,147,-91,261,31,15,23,84,48,74,48,126
-110.420618792539,41.8935812209583,1,0,0,"cold.Psummer","mid",1.38015885061463,-3.71655122536808,25,167,38,9194,264,-171,435,69,-75,145,-91,267,32,15,22,85,50,76,50,127
-110.409018792539,41.8935812209583,1,0,0,"cold.Psummer","mid",1.32664327550255,-3.77820966369287,26,167,38,9210,265,-172,437,70,-75,146,-91,266,32,15,23,85,49,76,49,128
-110.490218792539,41.8842312209583,1,0,0,"cold.Psummer","mid",1.42303791475595,-3.65946290741221,26,168,38,9204,265,-170,435,70,-75,145,-91,271,32,16,22,85,51,76,52,129
-110.420618792539,41.8842312209583,1,0,0,"cold.Psummer","mid",1.48898239842877,-3.6902624127369,25,167,38,9190,263,-171,434,68,-76,144,-92,269,32,16,21,85,51,76,51,130
-110.409018792539,41.8842312209583,1,0,0,"cold.Psummer","mid",1.38561188483104,-3.76467053325665,25,167,38,9214,265,-172,437,69,-75,145,-92,267,32,15,22,85,50,76,50,131
-110.501818792539,41.8748812209583,1,0,0,"cold.Psummer","mid",1.35362294545574,-3.67747224392945,27,168,38,9202,266,-169,435,71,-74,147,-90,270,32,16,22,85,51,76,51,132
-110.490218792539,41.8748812209583,1,0,0,"cold.Psummer","mid",1.13485713822953,-3.78156632171462,28,169,38,9242,269,-169,438,72,-73,148,-90,263,31,15,23,84,49,74,49,133
-110.478618792539,41.8748812209583,1,0,0,"cold.Psummer","mid",1.38211635313711,-3.6597778073902,26,167,38,9190,266,-169,435,70,-74,146,-90,270,32,16,22,85,51,76,51,134
-110.467018792539,41.8748812209583,1,0,0,"cold.Psummer","mid",1.40235324747637,-3.71009890166336,26,167,38,9201,266,-170,436,70,-75,146,-91,269,32,16,21,85,51,76,51,135
-107.033418792539,38.4901812209583,1,0,0,"cold.Psummer","mid",2.26757598841956,-4.4240584069958,34,197,41,9498,270,-207,477,143,-24,150,-97,313,43,19,28,114,62,101,69,136
-107.021818792539,38.4901812209583,1,0,0,"cold.Psummer","mid",2.60469517280198,-4.02961671888525,30,196,41,9512,265,-211,476,139,80,146,-101,326,44,20,27,118,65,105,73,137
-107.103018792539,38.4808312209583,1,0,0,"cold.Psummer","mid",2.03492526666852,-4.31785348741967,38,197,41,9435,275,-201,476,147,-19,154,-92,316,42,19,26,113,64,100,69,138
-107.149418792539,38.4714812209583,1,0,0,"cold.Psummer","mid",2.14111832515345,-4.16251933906756,38,197,41,9342,273,-200,473,147,-19,153,-90,324,43,19,26,115,66,101,70,139
-107.137818792539,38.4714812209583,1,0,0,"cold.Psummer","mid",2.19681865528216,-4.21679805993342,38,197,41,9349,274,-200,474,146,-20,153,-90,325,43,20,25,115,66,102,70,140
-107.126218792539,38.4714812209583,1,1,0,"cold.Psummer","mid",2.36720440459696,-4.17046573814191,36,196,41,9344,271,-202,473,144,-22,151,-92,328,43,20,25,116,67,103,72,141
-107.137818792539,38.4621312209583,1,0,0,"cold.Psummer","mid",2.01998381966459,-4.196231936589,39,197,41,9372,275,-199,474,148,-18,155,-89,321,43,19,27,115,64,101,69,142
-107.207418792539,38.4527812209583,1,0,0,"cold.Psummer","mid",2.23349454272831,-3.67187731039033,38,196,41,9259,272,-198,470,146,86,152,-88,338,44,20,24,118,69,104,72,143
