longitude,latitude,site
-109.041,40.516,282
-109.016,40.483,162
-108.991,40.458,165
-108.991,40.474,163
-108.991,40.499,67
-108.974,40.441,286
-108.974,40.499,75
-108.974,40.616,275
-108.933,40.474,77
-108.933,40.483,68
-108.933,40.566,276
-108.924,40.474,78
-108.916,40.575,281
-108.899,40.591,280
-108.891,40.624,274
-108.891,40.633,272
-108.874,40.466,79
-108.874,40.616,279
-108.874,40.633,273
-108.874,40.724,150
-108.866,40.741,149
-108.833,40.441,166
-108.808,40.458,91
-108.808,43.975,270
-108.774,40.041,13
-108.749,40.458,206
-108.741,40.441,210
-108.741,40.458,207
-108.716,40.458,208
-108.716,40.466,204
-108.708,40.466,205
-108.649,40.458,209
-108.541,42.733,154
-108.508,44.091,155
-108.491,43.95,156
-108.483,37.166,389
-108.458,42.791,159
-108.424,42.533,184
-108.416,40.841,203
-108.391,39.358,269
-108.299,40.633,90
-108.274,44.1,6
-108.274,44.608,5
-108.224,43.666,72
-108.208,43.658,73
-108.133,44.808,69
-108.124,42.666,271
-108.099,41.058,188
-108.091,41.025,200
-108.091,41.041,196
-108.074,41.008,202
-108.074,41.05,192
-108.074,41.474,85
-108.058,43.7,71
-108.041,41.025,88
-108.041,41.05,193
-108.041,41.058,189
-108.016,43.083,65
-108.016,43.091,8
-108.016,43.108,7
-108.008,43.091,64
-107.983,41.016,89
-107.983,42.975,74
-107.983,43.083,66
-107.974,42.474,160
-107.949,41.058,86
-107.883,41.058,87
-107.808,43.875,12
-107.791,39.591,277
-107.774,41.124,186
-107.766,44.6,167
-107.741,41.033,197
-107.741,41.05,194
-107.733,41.025,201
-107.733,41.033,198
-107.733,41.058,190
-107.733,43.858,70
-107.716,41.033,199
-107.691,38.583,316
-107.691,39.858,399
-107.691,41.05,195
-107.691,41.058,191
-107.691,41.075,187
-107.674,38.599,318
-107.658,38.608,315
-107.541,38.491,320
-107.533,43.933,82
-107.524,44.333,288
-107.508,43.991,81
-107.474,43.725,83
-107.424,43.716,93
-107.416,43.941,92
-107.408,38.433,290
-107.333,38.441,251
-107.333,38.466,249
-107.316,38.508,247
-107.316,43.25,183
-107.299,38.449,245
-107.299,38.499,232
-107.299,38.508,231
-107.299,38.516,230
-107.291,38.441,246
-107.291,38.466,238
-107.291,38.491,233
-107.266,38.441,292
-107.266,38.466,239
-107.266,38.474,235
-107.258,38.474,236
-107.258,38.483,248
-107.258,43.2,158
-107.241,38.466,240
-107.241,38.474,237
-107.233,38.416,252
-107.233,38.466,241
-107.216,38.466,242
-107.216,38.483,234
-107.208,38.449,143
-107.199,38.466,243
-107.183,38.449,250
-107.183,38.466,244
-107.149,38.474,139
-107.141,38.466,142
-107.141,38.474,140
-107.124,38.474,141
-107.099,38.274,144
-107.099,38.483,138
-107.083,38.391,253
-107.033,38.491,136
-107.033,38.883,362
-107.024,38.491,137
-106.933,38.449,145
-106.883,38.408,254
-106.849,40.283,291
-106.833,34.416,257
-106.816,36.433,313
-106.816,42.858,268
-106.724,38.824,295
-106.583,38.216,323
-106.533,38.833,294
-106.474,38.508,293
-106.458,38.683,404
-106.349,42.558,311
-106.291,42.474,353
-106.058,40.241,321
-105.282,43.666,176
-105.282,43.683,173
-105.282,43.691,170
-105.282,43.708,168
-105.274,43.683,174
-105.274,43.691,171
-105.274,43.708,169
-105.257,43.666,177
-105.257,43.683,175
-105.257,43.691,172
-105.249,43.641,181
-105.249,43.65,179
-105.233,43.666,178
-105.224,43.641,182
-105.224,43.65,180
